nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,likelihood_quadrature,likelihood_ghk,likelihood_ghk_pseudo,likelihood_accept_reject,likelihood_accept_reject_pseudo
203748,1437.5872747747746,0.64,2013,0.43,3.5699999928474426,1.02,0.25,2,2,4.0,1.0,2.0,1.0,7.51,7.86,7.42,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,4.0,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1266722779926552,0.12446822458613477,0.12838484722639282,0.14,0.09
201465,1706.6544117647056,0.4,2013,-0.06,4.309999987483025,0.67,0.25,2,2,3.0,0.0,1.0,1.0,7.83,8.15,7.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,4.25,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09989425733144833,0.09368460353849244,0.09345940994598541,0.09,0.1
202824,1706.6544117647056,0.43,2013,-1.02,3.519999995827675,1.05,0.5,2,2,4.0,0.0,1.0,1.0,7.26,7.04,6.55,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,2.5,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1576820040685851,0.1510525615445444,0.15579204903252195,0.16,0.1
200327,1028.7492580645162,0.53,2013,0.95,3.9299999997019768,0.96,0.5,2,2,4.0,0.0,1.0,1.0,7.4,7.07,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,4.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1341644069047396,0.13458965474425655,0.1390764492375812,0.14,0.1
204046,1706.6544117647056,0.71,2013,0.84,3.5399999991059303,1.04,0.25,2,2,3.0,0.0,2.0,1.0,6.95,7.29,6.53,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,4.38,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09655625766707711,0.08394270439643281,0.0827585458329059,0.1,0.12
203848,1028.7492580645162,0.64,2013,-0.66,3.4099999964237213,0.75,0.5,2,2,4.0,1.0,3.0,1.0,7.88,7.56,7.71,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,2.75,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11717280641684033,0.11783316192425232,0.1217575113113547,0.12,0.07
203992,3025.065165876777,0.36,2013,-0.68,3.9299999997019768,0.79,0.25,2,2,3.0,0.0,2.0,1.0,6.99,7.33,7.36,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1.0,1.0,0.0,0.09937706510906041,0.10288476585575797,0.10205000561572565,0.11,0.12
200584,1905.339552238806,0.56,2013,-0.03,3.4099999964237213,0.55,0.5,2,2,4.0,1.0,2.0,1.0,6.51,7.35,7.76,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,3.38,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.11557888995202319,0.12352179128133037,0.12766129584621172,0.13,0.09
200134,1905.339552238806,0.45,2013,-0.05,3.9299999997019768,0.96,0.5,2,1,4.0,1.0,1.0,1.0,6.43,6.88,7.26,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,0,0,3.88,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.13209698037339238,0.1390893994576809,0.143831916420649,0.15,0.1
202804,1437.5872747747746,0.59,2013,0.2,3.4299999997019768,1.02,0.5,2,1,4.0,1.0,1.0,1.0,6.32,6.47,6.98,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,3.63,3.895689,3.8419178,3.6166666,1.0,1.0,1.0,0.1418971966633945,0.14920859507528073,0.1543481607854926,0.18,0.12
